game_id,play_id,season,week,offense_team,defense_team,down,ydstogo,yardline_100,qtr,time_remaining_sec,score_diff,play_type,decision,result_success
2020_W14_SF_DAL,100,2020,18,CIN,CLE,4,13,53,3,1333,-8,punt,kick,1
2023_W05_CLE_MIN,101,2023,12,BAL,TB,4,3,28,1,3486,15,pass,go,1
2017_W14_SEA_NE,102,2017,12,SEA,IND,4,8,7,1,2918,-25,run,go,0
2018_W16_BUF_PIT,103,2018,18,CAR,DAL,4,13,84,3,1141,-22,pass,go,0
2018_W16_ATL_NYG,104,2018,15,LAC,NYG,4,12,63,3,1773,-24,punt,kick,1
2019_W17_BUF_TEN,105,2019,2,KC,SEA,4,6,37,3,1435,14,punt,kick,1
2016_W01_CIN_MIN,106,2016,18,CIN,TEN,4,17,10,1,3579,-20,pass,go,0
2019_W16_TB_LAC,107,2019,2,ATL,DEN,4,20,99,3,1731,3,pass,go,0
2019_W06_CIN_LAC,108,2019,15,IND,JAX,4,5,54,4,833,9,pass,go,1
2021_W13_PIT_MIA,109,2021,8,JAX,SEA,4,7,40,4,7,30,pass,go,1
2021_W04_LV_LAR,110,2021,12,CLE,DET,4,16,82,3,1346,-20,run,go,0
2018_W08_CIN_CAR,111,2018,14,KC,HOU,4,3,46,4,66,-23,run,go,1
2019_W08_DET_NE,112,2019,16,CHI,CIN,4,16,7,4,447,-15,punt,kick,1
2020_W04_LAC_PHI,113,2020,16,CHI,WSH,4,5,43,1,2984,-8,pass,go,1
2023_W06_PIT_CIN,114,2023,7,NYG,CAR,4,12,69,1,3560,0,punt,kick,1
2016_W06_LV_HOU,115,2016,7,ARI,PHI,4,5,7,3,1748,1,run,go,0
2021_W16_TB_MIN,116,2021,2,HOU,CHI,4,12,79,2,2482,-25,punt,kick,1
2016_W15_MIN_BAL,117,2016,17,PIT,PHI,4,4,82,4,403,-20,punt,kick,1
2018_W15_NE_NYJ,118,2018,7,LAC,HOU,4,5,2,4,891,14,punt,kick,1
2019_W18_SF_MIA,119,2019,8,PIT,LV,4,9,43,3,1339,-17,punt,kick,1
2023_W06_DAL_DEN,120,2023,8,KC,NE,4,14,96,4,93,-2,punt,kick,1
2019_W18_NO_DEN,121,2019,18,BAL,GB,4,6,80,1,3181,28,punt,kick,1
2020_W07_NYG_GB,122,2020,8,IND,DEN,4,19,32,4,8,-14,punt,kick,1
2021_W02_CHI_CAR,123,2021,2,ATL,GB,4,11,95,1,2758,27,pass,go,0
2022_W01_KC_HOU,124,2022,4,DET,SEA,4,20,54,1,3597,18,field_goal,kick,1
2019_W09_HOU_NYJ,125,2019,5,CAR,SF,4,13,24,4,185,-2,punt,kick,1
2021_W10_PIT_IND,126,2021,18,NO,PHI,4,19,99,3,1525,21,punt,kick,1
2023_W05_LV_JAX,127,2023,15,ATL,NYJ,4,1,84,3,1685,7,pass,go,0
2019_W18_BAL_CIN,128,2019,7,LV,WSH,4,9,99,2,2318,-23,punt,kick,1
2024_W01_NO_SEA,129,2024,1,BAL,LAR,4,12,94,4,26,-10,pass,go,0
2019_W17_GB_KC,130,2019,11,PHI,SF,4,9,49,4,44,25,run,go,0
2019_W10_PHI_CLE,131,2019,4,WSH,SF,4,1,63,2,1922,0,punt,kick,1
2016_W07_TEN_WSH,132,2016,11,SF,CAR,4,2,69,3,1434,-5,punt,kick,1
2020_W03_PHI_CHI,133,2020,15,KC,ARI,4,14,15,3,1174,3,pass,go,0
2020_W05_LAC_DAL,134,2020,4,CHI,DAL,4,13,98,4,422,17,punt,kick,1
2019_W10_IND_DET,135,2019,9,KC,GB,4,1,19,3,1134,-28,run,go,1
2021_W17_PIT_NE,136,2021,5,DET,KC,4,15,34,2,2464,20,pass,go,1
2020_W08_KC_DAL,137,2020,7,DEN,BUF,4,12,33,3,1498,-8,run,go,1
2024_W16_BAL_DAL,138,2024,12,NE,MIN,4,5,9,2,2033,-8,punt,kick,1
2019_W10_NE_LAC,139,2019,4,NE,NYG,4,6,54,3,1759,-25,punt,kick,1
2019_W18_CIN_HOU,140,2019,3,MIA,MIN,4,8,87,4,131,30,punt,kick,1
2023_W09_KC_PHI,141,2023,11,SF,HOU,4,3,30,2,2450,20,punt,kick,0
2020_W02_NE_DET,142,2020,14,SEA,ARI,4,18,1,4,315,-10,punt,kick,1
2018_W05_NE_NYG,143,2018,9,ATL,IND,4,12,93,4,616,30,run,go,0
2020_W10_KC_BUF,144,2020,16,NE,CLE,4,8,83,2,2044,-4,run,go,0
2020_W06_DEN_CLE,145,2020,6,LV,HOU,4,11,16,3,1480,-21,pass,go,0
2019_W06_DAL_PIT,146,2019,15,NYG,HOU,4,8,91,4,476,-14,run,go,0
2020_W18_BAL_DAL,147,2020,15,CIN,DAL,4,18,90,4,577,6,pass,go,0
2021_W02_NYJ_KC,148,2021,4,NO,LV,4,9,23,1,3149,-20,pass,go,0
2024_W05_DEN_KC,149,2024,5,ARI,DEN,4,6,88,4,188,28,punt,kick,1
2016_W10_PHI_CLE,150,2016,7,CHI,IND,4,13,70,1,2980,1,run,go,0
2024_W06_GB_CAR,151,2024,1,CAR,SEA,4,14,40,2,2307,-7,pass,go,1
2020_W04_SF_HOU,152,2020,2,DEN,DET,4,20,81,4,570,-26,punt,kick,1
2019_W01_MIA_HOU,153,2019,11,DET,CAR,4,13,85,4,508,19,pass,go,1
2021_W08_GB_KC,154,2021,13,KC,JAX,4,18,43,4,802,3,punt,kick,1
2017_W09_GB_LAC,155,2017,4,JAX,IND,4,18,34,3,1129,-27,run,go,1
2022_W16_MIA_CAR,156,2022,13,NE,DAL,4,7,63,2,2152,11,run,go,1
2016_W09_PIT_TB,157,2016,7,WSH,CLE,4,9,83,2,2009,11,pass,go,1
2019_W17_KC_CAR,158,2019,8,NE,GB,4,3,26,4,726,-14,pass,go,0
2017_W10_IND_HOU,159,2017,18,LAC,LV,4,10,45,3,1317,0,run,go,0
2018_W06_BUF_MIA,160,2018,1,TEN,MIN,4,15,16,1,3466,5,field_goal,kick,1
2020_W14_NE_MIA,161,2020,15,SF,BAL,4,18,44,2,2009,-30,punt,kick,1
2016_W01_PIT_LV,162,2016,9,CHI,ATL,4,3,1,3,1257,22,run,go,0
2023_W05_MIN_CHI,163,2023,4,BAL,DET,4,9,47,1,3288,-4,punt,kick,1
2022_W03_GB_SEA,164,2022,6,CLE,TB,4,12,58,1,3349,22,pass,go,1
2024_W16_ATL_NO,165,2024,7,DET,DEN,4,16,49,1,3551,21,field_goal,kick,1
2016_W02_LV_BAL,166,2016,17,GB,LAR,4,17,12,4,458,11,field_goal,kick,1
2017_W10_NE_NYG,167,2017,11,LAC,ATL,4,18,81,3,1712,9,pass,go,0
2020_W14_BAL_CHI,168,2020,12,TEN,CAR,4,19,81,2,1932,-26,pass,go,1
2023_W16_KC_SEA,169,2023,5,WSH,CHI,4,15,14,3,1320,-23,punt,kick,1
2018_W12_NYJ_LAC,170,2018,5,IND,ARI,4,12,51,4,308,-5,run,go,0
2018_W14_DET_NYJ,171,2018,9,MIN,GB,4,19,95,3,1210,4,punt,kick,1
2023_W04_NYJ_DAL,172,2023,7,WSH,NE,4,6,79,1,2715,28,punt,kick,1
2016_W15_WSH_LAC,173,2016,1,ATL,DET,4,8,57,3,1738,14,run,go,1
2024_W01_JAX_SF,174,2024,13,SF,DET,4,10,25,2,2528,7,punt,kick,1
2017_W07_NE_MIN,175,2017,8,SEA,LAC,4,1,85,4,745,13,run,go,1
2018_W06_NYJ_HOU,176,2018,17,JAX,IND,4,14,10,1,3521,17,field_goal,kick,1
2018_W10_PHI_DEN,177,2018,9,BAL,TB,4,9,99,1,2904,-30,punt,kick,1
2024_W11_HOU_NO,178,2024,13,PHI,MIA,4,8,59,1,2902,23,punt,kick,1
2023_W07_PHI_KC,179,2023,17,CHI,IND,4,16,97,1,2952,-29,punt,kick,1
2019_W15_LAR_PHI,180,2019,18,ATL,JAX,4,18,90,2,2074,14,punt,kick,1
2019_W14_SEA_DEN,181,2019,13,DEN,NE,4,4,77,4,770,-3,punt,kick,1
2023_W05_CLE_LV,182,2023,15,DAL,LAC,4,4,41,2,2623,15,pass,go,1
2018_W04_BUF_PIT,183,2018,6,NYJ,IND,4,8,22,3,1722,26,punt,kick,1
2023_W06_DEN_TEN,184,2023,6,BUF,LV,4,15,65,3,1361,7,pass,go,0
2023_W16_SEA_DET,185,2023,9,BAL,SEA,4,4,71,3,1013,6,run,go,1
2021_W18_WSH_NYJ,186,2021,2,ATL,DAL,4,14,51,3,920,9,run,go,0
2022_W04_BAL_NYJ,187,2022,9,CHI,NO,4,19,86,1,2792,9,pass,go,0
2018_W12_TEN_NO,188,2018,1,LV,GB,4,18,64,4,727,22,punt,kick,1
2021_W02_BUF_CLE,189,2021,4,JAX,TEN,4,10,3,2,2027,22,field_goal,kick,1
2017_W11_SEA_LAR,190,2017,16,SF,CHI,4,18,80,3,1572,2,punt,kick,1
2016_W03_JAX_KC,191,2016,11,CHI,DAL,4,17,21,1,3412,-20,run,go,0
2019_W10_NO_LAC,192,2019,1,JAX,CIN,4,7,6,1,3528,0,punt,kick,1
2018_W09_HOU_CIN,193,2018,4,CHI,NYG,4,1,90,2,2154,8,pass,go,1
2017_W15_DAL_GB,194,2017,1,NE,LV,4,6,75,1,3556,1,punt,kick,1
2020_W15_SEA_BUF,195,2020,8,PIT,HOU,4,9,55,3,1211,-25,punt,kick,1
2023_W17_MIA_DEN,196,2023,12,BAL,DET,4,2,89,3,1205,21,pass,go,1
2018_W14_DET_NYG,197,2018,16,DAL,IND,4,11,94,2,2163,-30,punt,kick,1
2017_W02_NO_LAC,198,2017,7,DEN,PHI,4,6,78,2,2686,-18,punt,kick,1
2023_W10_CLE_TEN,199,2023,6,NYJ,MIA,4,5,40,2,2686,18,punt,kick,1
2016_W15_CHI_NYG,200,2016,18,MIN,NO,4,10,95,3,1013,-25,run,go,0
2021_W14_DET_CHI,201,2021,10,GB,PIT,4,18,90,3,1074,-7,punt,kick,1
2021_W14_NYJ_IND,202,2021,6,TEN,DAL,4,7,38,2,2011,-17,punt,kick,1
2020_W17_ATL_ARI,203,2020,12,ATL,BUF,4,3,26,3,1325,-24,run,go,1
2019_W11_WSH_CLE,204,2019,15,ATL,NO,4,1,45,3,901,-5,pass,go,1
2016_W04_DEN_BAL,205,2016,13,CAR,CHI,4,10,90,2,2695,7,punt,kick,1
2023_W17_ATL_DEN,206,2023,17,NO,DET,4,7,74,3,1020,12,punt,kick,1
2016_W15_KC_SF,207,2016,3,TB,BUF,4,8,41,4,526,-16,run,go,0
2017_W14_LV_DAL,208,2017,1,BAL,MIA,4,18,20,3,1668,-18,run,go,0
2023_W07_SEA_GB,209,2023,18,LAC,SF,4,14,93,2,1981,26,pass,go,0
2019_W15_ARI_NYJ,210,2019,6,GB,DAL,4,9,23,2,2160,7,punt,kick,1
2020_W03_TB_CAR,211,2020,14,MIA,CIN,4,11,45,2,2542,-4,punt,kick,1
2021_W08_BAL_LAR,212,2021,9,PIT,CIN,4,15,45,3,1206,14,pass,go,0
2021_W03_NE_SEA,213,2021,17,TEN,KC,4,17,44,4,72,16,pass,go,0
2024_W01_DAL_CHI,214,2024,10,NYG,PHI,4,8,55,4,659,20,pass,go,1
2024_W13_ATL_CAR,215,2024,3,CLE,ARI,4,1,83,3,1165,-22,run,go,1
2018_W12_NO_CAR,216,2018,7,PHI,DEN,4,4,71,2,2105,16,punt,kick,1
2022_W07_DET_CHI,217,2022,10,NYG,MIN,4,4,93,3,1568,15,punt,kick,1
2022_W11_IND_LAR,218,2022,16,TEN,NE,4,17,32,3,1457,-18,run,go,0
2018_W01_NYJ_PIT,219,2018,18,DEN,SF,4,9,37,2,1990,3,run,go,0
2017_W05_CHI_GB,220,2017,2,HOU,LAR,4,10,49,4,353,19,run,go,0
2023_W03_TB_DEN,221,2023,18,LV,CAR,4,2,12,3,1499,26,punt,kick,1
2022_W14_NYJ_JAX,222,2022,16,CLE,MIN,4,1,32,2,2045,-1,pass,go,1
2019_W04_CAR_MIN,223,2019,13,ATL,DAL,4,18,76,1,2761,-12,run,go,1
2018_W07_LV_IND,224,2018,15,ATL,NO,4,9,34,1,3084,-10,punt,kick,1
2022_W07_TB_ARI,225,2022,9,SEA,LV,4,14,76,2,2129,8,punt,kick,1
2018_W01_SEA_CIN,226,2018,16,NE,NYG,4,5,4,1,3377,-23,run,go,1
2020_W02_NYG_PHI,227,2020,8,PHI,MIN,4,13,97,2,2057,-27,run,go,1
2018_W06_BAL_BUF,228,2018,9,BAL,CLE,4,17,80,3,1032,0,punt,kick,1
2021_W05_BAL_CIN,229,2021,12,TEN,PHI,4,4,43,4,408,30,punt,kick,1
2019_W16_DET_HOU,230,2019,6,NE,TEN,4,9,65,4,727,27,pass,go,0
2021_W09_GB_CIN,231,2021,8,PIT,DET,4,3,47,3,1442,-6,pass,go,1
2018_W07_DEN_LAC,232,2018,15,KC,ATL,4,13,61,1,3180,-21,punt,kick,1
2021_W01_NE_ATL,233,2021,9,WSH,PHI,4,2,43,1,2907,7,pass,go,0
2021_W03_BUF_HOU,234,2021,12,NYG,ATL,4,8,45,2,2516,-22,punt,kick,1
2020_W16_CHI_LV,235,2020,14,TEN,TB,4,18,46,3,1597,-4,field_goal,kick,1
2020_W15_ARI_NYJ,236,2020,5,DET,CLE,4,7,66,4,426,26,punt,kick,1
2017_W14_DET_JAX,237,2017,4,LAR,NYG,4,17,53,3,1460,11,punt,kick,1
2022_W13_PIT_LV,238,2022,12,CLE,SEA,4,18,23,2,2355,16,punt,kick,1
2022_W02_TB_LAC,239,2022,14,PIT,GB,4,14,18,3,1524,20,pass,go,0
2018_W05_BAL_LAC,240,2018,6,NYG,ATL,4,16,41,4,293,-14,run,go,1
2019_W15_NO_MIA,241,2019,16,CLE,JAX,4,17,27,1,3362,-28,punt,kick,1
2024_W04_DET_CAR,242,2024,17,DAL,CLE,4,19,7,3,1057,13,punt,kick,1
2017_W12_LAC_CHI,243,2017,18,WSH,ATL,4,10,41,2,2282,11,punt,kick,1
2020_W05_SEA_TB,244,2020,11,NE,LAR,4,6,4,1,3356,-22,pass,go,0
2020_W03_NO_ARI,245,2020,16,ARI,DET,4,17,27,3,1365,23,run,go,1
2022_W08_CHI_SF,246,2022,13,PIT,CHI,4,19,1,3,1578,-5,punt,kick,1
2020_W02_DAL_CHI,247,2020,18,CHI,NE,4,17,25,1,2739,9,field_goal,kick,1
2022_W16_CAR_SF,248,2022,17,ARI,PIT,4,8,44,1,3053,3,field_goal,kick,0
2017_W09_CLE_CIN,249,2017,7,DAL,SF,4,2,92,1,3492,30,pass,go,1
2017_W10_WSH_KC,250,2017,17,PHI,NYJ,4,8,95,3,1251,6,run,go,0
2020_W04_IND_CLE,251,2020,3,JAX,SEA,4,5,64,2,2064,-9,pass,go,1
2017_W09_KC_CHI,252,2017,16,PIT,ARI,4,19,11,4,504,15,punt,kick,1
2016_W18_PIT_DET,253,2016,7,PHI,MIN,4,5,19,2,1980,-10,pass,go,1
2020_W04_KC_PIT,254,2020,12,MIN,CIN,4,14,69,4,242,26,pass,go,0
2022_W09_CLE_LAC,255,2022,10,KC,TB,4,18,66,4,669,4,run,go,0
2020_W07_BAL_CAR,256,2020,10,MIN,TB,4,3,10,2,1950,-12,field_goal,kick,1
2023_W13_TB_SF,257,2023,4,IND,NYJ,4,11,16,3,957,-14,pass,go,0
2018_W17_KC_IND,258,2018,3,CHI,PHI,4,8,71,3,974,-23,punt,kick,1
2020_W06_BUF_NYG,259,2020,15,MIA,TEN,4,18,69,2,2218,-2,pass,go,0
2017_W12_SF_PIT,260,2017,12,HOU,NYG,4,8,95,1,3150,-14,pass,go,1
2018_W16_WSH_ARI,261,2018,9,CHI,DET,4,4,15,3,1648,21,pass,go,1
2020_W06_ATL_LAR,262,2020,2,DEN,CAR,4,6,63,1,2754,25,punt,kick,1
2021_W13_ARI_HOU,263,2021,6,PHI,CIN,4,2,74,1,2824,25,pass,go,1
2021_W12_PIT_LAC,264,2021,16,SF,NE,4,15,13,1,3305,-5,punt,kick,1
2018_W11_NE_PHI,265,2018,17,MIN,PHI,4,3,3,2,2338,18,punt,kick,1
2018_W02_LAR_ARI,266,2018,15,NYG,TB,4,1,89,2,2680,17,punt,kick,1
2019_W03_KC_CIN,267,2019,4,DAL,CAR,4,17,73,3,1261,29,punt,kick,1
2017_W07_NYG_JAX,268,2017,8,IND,NE,4,7,35,4,136,-25,run,go,1
2018_W07_NYJ_DEN,269,2018,11,NE,PIT,4,16,58,2,1843,17,run,go,1
2024_W09_LAC_TB,270,2024,15,KC,SF,4,9,30,1,3017,-4,run,go,1
2019_W02_DET_BAL,271,2019,2,LV,MIA,4,17,25,1,3382,-19,run,go,0
2022_W07_HOU_DEN,272,2022,16,IND,TB,4,8,9,3,1265,-18,run,go,0
2018_W08_CLE_CIN,273,2018,17,HOU,DET,4,9,83,1,3245,15,pass,go,1
2016_W05_WSH_DEN,274,2016,2,MIN,DET,4,8,50,1,2727,-10,run,go,0
2016_W14_PHI_DET,275,2016,11,PHI,ARI,4,14,61,2,1894,26,field_goal,kick,0
2024_W12_NYJ_LAR,276,2024,4,MIN,CHI,4,14,35,1,3475,-23,pass,go,1
2019_W09_JAX_MIN,277,2019,2,NYG,LAR,4,8,11,2,2503,-24,field_goal,kick,1
2016_W04_BAL_PIT,278,2016,5,JAX,LV,4,7,83,3,1271,27,pass,go,1
2019_W01_DEN_CIN,279,2019,3,IND,NE,4,13,59,3,1428,-6,pass,go,0
2018_W08_CAR_HOU,280,2018,14,LAR,JAX,4,13,3,4,894,-27,punt,kick,1
2022_W01_DET_CLE,281,2022,7,SEA,NO,4,13,98,3,1719,-21,pass,go,0
2024_W18_NO_LAR,282,2024,4,SF,WSH,4,16,28,1,2767,26,punt,kick,1
2024_W18_DEN_IND,283,2024,11,SEA,WSH,4,15,24,3,913,4,punt,kick,1
2016_W14_KC_ATL,284,2016,3,CAR,TEN,4,6,87,2,2519,-23,pass,go,0
2016_W06_NYG_MIN,285,2016,10,BAL,TB,4,19,50,4,886,-16,run,go,0
